Tournament,Surface,Court,Player_1,Player_2,ID_P1,ID_P2,Round,Date,Rank_1,Rank_2,Pts_1,Pts_2
M25 Lujan ITF Men,clay,Outdoor,Estevez J.,Bagnis F.,v3mDD6Cq,WpBznQ9s,1/16-finals,2025-03-26,576.0,400.0,61.0,119.0
M25 Lujan ITF Men,clay,Outdoor,Kestelboim M.,Ratti L.,2BfFVH4T,xdrR3fug,1/16-finals,2025-03-26,491.0,1447.0,83.0,4.0
M25 Lujan ITF Men,clay,Outdoor,La Serna J. M.,De La Fuente S.,OUerK0bc,xMEO3dkb,1/16-finals,2025-03-26,573.0,880.0,61.0,21.0
M25 Lujan ITF Men,clay,Outdoor,Bruna N.,Cavallo F.,hEIDkKoL,WUwp7xKO,1/16-finals,2025-03-26,1150.0,995.0,9.0,15.0
M25 Lujan ITF Men,clay,Outdoor,Garay V.,Cigarran T.,AspJSEc3,EBRfRytK,1/16-finals,2025-03-26,1504.0,977.0,3.0,16.0
M25 Lujan ITF Men,clay,Outdoor,Hess S.,Aguilar Cardozo J.,j3bfUX2q,rsXrDrGP,1/16-finals,2025-03-26,1067.0,864.0,12.0,22.0
M25 Lujan ITF Men,clay,Outdoor,Pagani D.,Rodrigues P.,fotxRUu1,Es9YibKk,1/16-finals,2025-03-26,1584.0,1025.0,2.0,13.0
M25 Lujan ITF Men,clay,Outdoor,Midon L.,Bangoura S.,t6jmJKD3,nLdayj1P,1/16-finals,2025-03-26,307.0,1542.0,172.0,3.0
W75 Vacaria ITF Women,clay,Outdoor,Bayerlova M.,Papamichail D.,S8Y5B5kc,lEp5rDFG,1/16-finals,2025-03-26,,,,
W75 Vacaria ITF Women,clay,Outdoor,Pigossi L.,Ruggeri J.,l2FaZpEP,2HyunfM6,1/16-finals,2025-03-26,,,,
W75 Vacaria ITF Women,clay,Outdoor,Tona M.,Jones F.,2wB7CMs9,OU6w8nNa,1/16-finals,2025-03-26,,,,
W75 Vacaria ITF Women,clay,Outdoor,Fullana L.,Serban R.,v55cXYg7,E9EQl2sR,1/16-finals,2025-03-26,,,,
W75 Vacaria ITF Women,clay,Outdoor,Oliynykova O.,Herrero Linana A.,WSu6zx5t,tOEf0dHf,1/16-finals,2025-03-26,,,,
W75 Vacaria ITF Women,clay,Outdoor,Pedretti T.,Gerald Gonzalez J. G.,fur43pmJ,vwL2eiQj,1/16-finals,2025-03-26,,,,
W75 Vacaria ITF Women,clay,Outdoor,Ccuno R.,Zantedeschi A.,6B3cLZTF,KIRyWIvq,1/16-finals,2025-03-26,,,,
W75 Vacaria ITF Women,clay,Outdoor,Cherubini D.,Riera J.,ltparF2J,K4Sih0XH,1/16-finals,2025-03-26,,,,
W75 Vacaria ITF Women,clay,Outdoor,Kozyreva M.,Strakhova V.,vqjYeY1t,dO8fjQAB,1/16-finals,2025-03-26,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Reguer A.,Nahimana S.,E3vifwME,tbD17Az3,1/16-finals,2025-03-26,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Ureke A.,Yadlapalli P.,8Gac9DfK,Gnx2hAe1,1/16-finals,2025-03-26,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Dartron E.,Naito Y.,zw8Ilv1R,YgiiwIrA,1/16-finals,2025-03-26,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Hoedt M.,Lew Yan Foon A.,zaFHvp8f,CvKf6QyA,1/16-finals,2025-03-26,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Bhunu V.,Visscher S. J.,hfMLmmtr,6ornLmvN,1/16-finals,2025-03-26,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Gimbrere J.,Leon S.,Y3xbVlDh,COFfZDNn,1/16-finals,2025-03-26,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Reyngold E.,Zaytseva K.,lpjDUxQf,vyqrLx1t,1/16-finals,2025-03-26,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Salvadori M.,Tran L.,hCz0hmH9,hnMwhKrA,1/16-finals,2025-03-26,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Job K. M.,Tran D.,xbbgw5af,8xcf0Nds,1/16-finals,2025-03-26,,,,
Concepcion Chall. Men,clay,Outdoor,Pucinelli de Almeida M.,Galan D. E.,6J1eXqaF,jgzV6009,1/8-finals,2025-03-26,345.0,110.0,148.0,532.0
Concepcion Chall. Men,clay,Outdoor,Justo G. I.,Olivo R.,CjaTkiTr,xftLMguk,1/8-finals,2025-03-26,411.0,373.0,117.0,135.0
Concepcion Chall. Men,clay,Outdoor,Collarini A.,Olivieri G. A.,zuoQSpCN,lnHtsdAT,1/8-finals,2025-03-26,198.0,324.0,290.0,160.0
Concepcion Chall. Men,clay,Outdoor,Varillas J. P.,Kicker N.,SdnbvebA,SATGSBer,1/8-finals,2025-03-26,236.0,715.0,231.0,37.0
M15 Opatija ITF Men,clay,Outdoor,Hallquist Lithen J.,Battiston A.,CGjZME8k,nVq6DVAK,1/16-finals,2025-03-26,925.0,1739.0,18.0,2.0
M15 Opatija ITF Men,clay,Outdoor,Madarasz G.,Obradovic D.,GYSzoU6R,WK1R8GsO,1/16-finals,2025-03-26,792.0,605.0,29.0,54.0
M15 Opatija ITF Men,clay,Outdoor,Mashtakov N.,Kolar Z.,SC4vdKb1,rwvvD1sO,1/16-finals,2025-03-26,882.0,399.0,21.0,120.0
M15 Opatija ITF Men,clay,Outdoor,Popovic S.,Milic O.,86SsOMq6,06Zumgy7,1/16-finals,2025-03-26,445.0,1643.0,102.0,2.0
M15 Opatija ITF Men,clay,Outdoor,Rybkin S.,Simundza J.,QHUvQ4YN,rNdizKtN,1/16-finals,2025-03-26,,887.0,,21.0
M15 Opatija ITF Men,clay,Outdoor,Sorger S.,Maksimovic M.,YVX2xrZ3,Kj4t2bvk,1/16-finals,2025-03-26,663.0,1147.0,45.0,9.0
M15 Opatija ITF Men,clay,Outdoor,Bielinskyi V.,Blokhin N.,0zwUw7ae,KlsiVrhT,1/16-finals,2025-03-26,540.0,,69.0,
M15 Opatija ITF Men,clay,Outdoor,Ivanisevic E.,Krivoshchekov M.,QH43HhwS,MgR0ZKCl,1/16-finals,2025-03-26,,,,
M15 Opatija ITF Men,clay,Outdoor,Kucera J.,Nedic A.,GUBaN5sq,xSEy3vPr,1/16-finals,2025-03-26,1400.0,555.0,4.0,65.0
M15 Opatija ITF Men,clay,Outdoor,Ljubicic L.,Kupcic J.,nTvRyJSr,jakl92iG,1/16-finals,2025-03-26,,998.0,,15.0
M15 Opatija ITF Men,clay,Outdoor,Voljavec A.,Perez Contri S.,Y1EdzIAQ,nTs4uii1,1/16-finals,2025-03-26,1668.0,721.0,2.0,37.0
M15 Opatija ITF Men,clay,Outdoor,Basic N.,Vrbensky M.,SQf6b5n4,CAHWb37o,1/16-finals,2025-03-26,929.0,406.0,18.0,118.0
M15 Opatija ITF Men,clay,Outdoor,Gschwendtner J.,Malesevic N.,jsSzo7Us,WMCiPFCQ,1/16-finals,2025-03-26,1124.0,,10.0,
M15 Opatija ITF Men,clay,Outdoor,Ivanovski K.,Bonsach G. K.,8jFgmHi2,hxWKNTvQ,1/16-finals,2025-03-26,1325.0,781.0,5.0,30.0
M15 Opatija ITF Men,clay,Outdoor,Mikrut L.,Raquillet L.,Wv7XRRCI,6XFOXbPo,1/16-finals,2025-03-26,360.0,1153.0,141.0,9.0
M15 Opatija ITF Men,clay,Outdoor,Oberleitner N.,Fuele M.,C02ZcN0K,lz7cCFvD,1/16-finals,2025-03-26,431.0,1373.0,110.0,4.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Ivanov I.,Cazacu D. N.,bF6qCIGF,Ys8BgO2B,1/16-finals,2025-03-26,,828.0,,25.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Nagel A.,Bacaloni A.,6eO0SM8J,C0oZl1Vf,1/16-finals,2025-03-26,994.0,1372.0,15.0,5.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Parizzia N.,Wazny A.,zPzGK6wK,biMQYYD6,1/16-finals,2025-03-26,1423.0,,4.0,
M15 Alaminos 3 ITF Men,clay,Outdoor,Rivet M.,Noce G. M.,WlznU7Za,r7oqXqGP,1/16-finals,2025-03-26,699.0,851.0,40.0,23.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Fiorentini A.,Hopp M.,fTVCv9L2,E7xc6a95,1/16-finals,2025-03-26,988.0,1187.0,15.0,8.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Campbell N.,D'Agostino S.,GMvGztso,C08PWPwb,1/16-finals,2025-03-26,,819.0,,26.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Hannestad B.,Timini A.,dj37reBs,ribEixGQ,1/16-finals,2025-03-26,1334.0,1547.0,5.0,3.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Ionel N. D.,Biondolillo G.,rZoAMC0F,Wd4fwNbr,1/16-finals,2025-03-26,364.0,,139.0,
M15 Alaminos 3 ITF Men,clay,Outdoor,Photiades P.,Honda N.,6kzrlteN,pC2uDb19,1/16-finals,2025-03-26,,845.0,,23.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Broska F.,Efstathiou M.,8K76hSpA,pCP9mPxp,1/16-finals,2025-03-26,503.0,1018.0,79.0,14.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Fabre A.,Boitan G. A.,GYivpAoO,0Y4LAw2l,1/16-finals,2025-03-26,,379.0,,131.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Lane L.,Pankin S.,I3n8uQMT,AqOZJFvK,1/16-finals,2025-03-26,1442.0,1006.0,4.0,14.0
W15 Alaminos 3 ITF Women,clay,Outdoor,Andronicou N.,Bakhmutkina P.,d6WaEyia,KOUAxQ2S,1/16-finals,2025-03-26,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Duerst J.,Gram O.,ppuj2p3L,6eP2G2mL,1/16-finals,2025-03-26,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Nagy A.,Gandolfi F.,KppOkDfr,0EyaDiIr,1/16-finals,2025-03-26,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Veleva V.,Simion O.,WERggXph,QVBmMmoq,1/16-finals,2025-03-26,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Parentini G.,Squarcialupi G.,K83JhMIo,6JHeJHhF,1/16-finals,2025-03-26,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Ekshibarova V.,Sagmar I.,M70Kn5t7,rgiQyfCa,1/16-finals,2025-03-26,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Fetecau I.,Pochtovyk K.,88JkTZXP,dzfKzsi1,1/16-finals,2025-03-26,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Kuznetsova E.,Ricci B.,4E6XfaLk,8bGfUqTM,1/16-finals,2025-03-26,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Vasilyeva A.,Puiac A. L.,KtK3eh8B,Cn81PM8B,1/16-finals,2025-03-26,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Firman A.,Siopacha M.,tOgpGk0f,6L2tYOjo,1/16-finals,2025-03-26,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Udvardy L.,Breen S.,M3bWRDGt,SdeCPdYq,1/16-finals,2025-03-26,,,,
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Arseneault M.,Vasser O.,AeqjajZ4,fwAGPMY9,1/16-finals,2025-03-26,1432.0,2140.0,4.0,1.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Cid Subervi R.,Van Orderlain D.,CEMftmEG,r5Knp4CG,1/16-finals,2025-03-26,450.0,1241.0,98.0,7.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Dougaz A.,Flores J.,0YI8tRD1,0CTefcu8,1/16-finals,2025-03-26,206.0,896.0,277.0,20.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Govila A.,Ross J.,CrIH2KNA,l0yAhRAl,1/16-finals,2025-03-26,1791.0,1125.0,1.0,10.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Lapadat J.,Bertran P.,rwY3WpTr,xG1pDfib,1/16-finals,2025-03-26,1494.0,469.0,3.0,89.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,McHugh A.,George B. T.,6mqo5tyC,8jkaOzPA,1/16-finals,2025-03-26,470.0,949.0,88.0,17.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Muamba N.,Burdet A.,hbnMacPT,AFdrt6oC,1/16-finals,2025-03-26,1528.0,1881.0,3.0,1.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Stice T.,Arseneault N.,tADGocmM,GYqn0WJb,1/16-finals,2025-03-26,860.0,1082.0,22.0,11.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Barreiros Reyes M.,Brunclik P.,UoUqKLtE,jVnKvEsp,1/16-finals,2025-03-26,648.0,863.0,47.0,22.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Hurrion M.,Evans G.,IcTmRIBf,l8iYsFRb,1/16-finals,2025-03-26,822.0,1407.0,25.0,4.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Klier Junior G.,Damm M.,IHPjQLNh,vX7WOXtP,1/16-finals,2025-03-26,1046.0,468.0,12.0,89.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Ribeiro E.,Munoz E.,ObAxbvT5,b1RpkmBM,1/16-finals,2025-03-26,598.0,,56.0,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Brace C.,Tan H.,ILn43dk2,vqOqBe0i,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Branstine C.,Lim J.,S8vyAxRf,YT8aUj0p,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Burgic E.,Cross K.,YXq37QRe,bNv93cUs,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Fung S.,Daavettila S.,IyCuT8lL,GMSQvTER,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Ito A.,Helgo M.,fg8WB6JC,6oEs5hsA,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Kalieva E.,Akli A.,8MpH36Na,lYIXolpg,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Rodriguez V.,Banks A.,baNcJtnh,pWwx5ylk,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Tikhonova A.,Boskovic L.,YDVzHVuJ,YDN2k7yT,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Guerrero Alvarez E.,Jorge F.,WUf6std4,vyOa8QgA,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Mateas M.,McDonald E.,AqzhGvlR,pOESWIvh,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Ngounoue C.,Sieg M.,dlm9zwW5,G66hUeX6,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Sanchez A. S.,Jorge M.,zZiiCAEg,dbDr0LD8,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Sonobe W.,Ishii S.,fqDTTLYa,GKr3Pq9i,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Tkacheva M.,Ma L.,C6LIOynL,QDN44n8g,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Urhobo A.,Loeb J.,OWWpdkTo,dnuFIN0K,1/16-finals,2025-03-26,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Yamalapalli S.,Vandewinkel H.,UZAhfYfD,Qw6Rciy8,1/16-finals,2025-03-26,,,,
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Adesalu N.,Ursu V.,jmwzUk8S,ENsOeB1H,1/16-finals,2025-03-26,,420.0,,114.0
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Elsayed A.,Zhzhenov K.,QNdYa78o,SGLJ8Bkm,1/16-finals,2025-03-26,689.0,1965.0,41.0,1.0
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Waldner N.,Konovchuk V.,xz4TEIlg,rBz6gU9h,1/16-finals,2025-03-26,1370.0,1965.0,5.0,1.0
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Herman L.,Bassem Sobhy M.,COCrICEH,tzDJdud6,1/16-finals,2025-03-26,1520.0,936.0,3.0,18.0
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Gengel M.,Ouzilou H.,bFThaUAS,tKaWBeMu,1/16-finals,2025-03-26,237.0,1965.0,230.0,1.0
