Tournament,Surface,Court,Player_1,Player_2,ID_P1,ID_P2,Round,Date,EVENT_ID,Odd_1,Odd_2,Rank_1,Rank_2,Pts_1,Pts_2
M25 Lujan ITF Men,clay,Outdoor,Goncalves V.,Lingua Lavallen A. L.,YuxFyMmK,8tL6uZFb,1/8-finals,2025-03-27,h4hMfUwp,3.4,1.36,1188.0,397.0,8.0,120.0
M25 Lujan ITF Men,clay,Outdoor,La Serna J. M.,Estevez J.,OUerK0bc,v3mDD6Cq,1/8-finals,2025-03-27,rkisjon4,2.1,1.75,573.0,576.0,61.0,61.0
M25 Lujan ITF Men,clay,Outdoor,Ribeiro de Almeida G.,Rodriguez L. J.,Q9WY2RpJ,xdHROE39,1/8-finals,2025-03-27,6mSe8Ykg,2.62,1.44,970.0,471.0,16.0,88.0
M25 Lujan ITF Men,clay,Outdoor,Barrena A.,Bruna N.,EcYZCT1F,hEIDkKoL,1/8-finals,2025-03-27,xIaE5lzh,1.1,6.5,566.0,1150.0,62.0,9.0
M25 Lujan ITF Men,clay,Outdoor,Lilov V.,Rodriguez Taverna S.,z5CHKsht,j96bbAfd,1/8-finals,2025-03-27,QmmsvzZ7,3.8,1.29,857.0,310.0,22.0,170.0
M25 Lujan ITF Men,clay,Outdoor,Midon L.,Aguilar Cardozo J.,t6jmJKD3,rsXrDrGP,1/8-finals,2025-03-27,r7ntooUs,1.2,4.33,307.0,864.0,172.0,22.0
M25 Lujan ITF Men,clay,Outdoor,Roncadelli F.,Garay V.,Aw1hl8Sn,AspJSEc3,1/8-finals,2025-03-27,CzEdIRJc,1.04,10.0,375.0,1504.0,134.0,3.0
M25 Lujan ITF Men,clay,Outdoor,Kestelboim M.,Rodrigues P.,2BfFVH4T,Es9YibKk,1/8-finals,2025-03-27,Q5Cj7SbS,1.26,3.75,491.0,1025.0,83.0,13.0
W75 Vacaria ITF Women,clay (indoor),Outdoor,Kawa K.,Zantedeschi A.,2kS2AMrn,KIRyWIvq,1/8-finals,2025-03-27,U3M6WoFl,1.37,2.9,,,,
W75 Vacaria ITF Women,clay (indoor),Outdoor,Papamichail D.,Serban R.,lEp5rDFG,E9EQl2sR,1/8-finals,2025-03-27,nHph71Bd,2.54,1.53,,,,
W75 Vacaria ITF Women,clay (indoor),Outdoor,Pedretti T.,Riera J.,fur43pmJ,K4Sih0XH,1/8-finals,2025-03-27,boyDDIjJ,4.0,1.29,,,,
W75 Vacaria ITF Women,clay (indoor),Outdoor,Jeanjean L.,Anderson R.,EDBO32wT,2TtUq2X8,1/8-finals,2025-03-27,b3zlDxfB,1.22,4.0,,,,
W75 Vacaria ITF Women,clay (indoor),Outdoor,Pigossi L.,Candiotto A.,l2FaZpEP,6qzPIglq,1/8-finals,2025-03-27,AZ5IofWi,1.1,6.75,,,,
W75 Vacaria ITF Women,clay (indoor),Outdoor,Strakhova V.,Jones F.,dO8fjQAB,OU6w8nNa,1/8-finals,2025-03-27,E95o5RxB,5.0,1.17,,,,
W75 Vacaria ITF Women,clay (indoor),Outdoor,Ce G.,Koevermans A.,IifpT34I,Aa22YkfQ,1/8-finals,2025-03-27,vorI91bt,5.0,1.14,,,,
W75 Vacaria ITF Women,clay (indoor),Outdoor,Deichmann K.,Oliynykova O.,44zKPsKi,WSu6zx5t,1/8-finals,2025-03-27,SpqfRM2S,1.4,2.75,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Dartron E.,Giordano M.,zw8Ilv1R,SlOYGNc2,1/8-finals,2025-03-27,K0c8wjVj,1.05,9.0,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Job K. M.,Nahimana S.,xbbgw5af,tbD17Az3,1/8-finals,2025-03-27,MJ0rKz96,9.0,1.05,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Ureke A.,Tran L.,8Gac9DfK,hnMwhKrA,1/8-finals,2025-03-27,CnxxHAdc,2.65,1.44,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Rakotomanga Rajaonah T.,Zaytseva K.,pz7Viwx2,vyqrLx1t,1/8-finals,2025-03-27,6q4W8oko,1.36,3.5,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Lew Yan Foon A.,Visscher S. J.,CvKf6QyA,6ornLmvN,1/8-finals,2025-03-27,rcc4P1A5,1.75,2.0,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Falkowska W.,Gimbrere J.,foPjjEll,Y3xbVlDh,1/8-finals,2025-03-27,KxZwDXKr,1.36,3.0,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Kazionova E.,Kulambayeva Z.,GbCmRSaG,d2HpmHB6,1/8-finals,2025-03-27,lUOeG3qo,2.75,1.4,,,,
W50 Bujumbura ITF Women,clay,Outdoor,Gorgodze E.,Adams J.,vPEmPARA,rNpx5PyM,1/8-finals,2025-03-27,CWTst43n,1.36,3.0,,,,
Concepcion Chall. Men,clay,Outdoor,Burruchaga R. A.,Huertas Del Pino C.,CE7B5N90,dvetkyid,1/8-finals,2025-03-27,8YgbbYf3,1.13,6.0,137.0,795.0,430.0,28.0
Concepcion Chall. Men,clay,Outdoor,Varillas J. P.,Kicker N.,SdnbvebA,SATGSBer,1/8-finals,2025-03-27,zkXWMhMq,1.31,3.4,236.0,715.0,231.0,37.0
Concepcion Chall. Men,clay,Outdoor,Soto M.,Aboian V.,ChWlBYr1,6BsiXzTM,1/8-finals,2025-03-27,WhIOA2pQ,1.57,2.25,244.0,483.0,225.0,85.0
