Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Western & Southern Financial Group Masters,2020-08-22 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Auger-Aliassime F.,Basilashvili N.,Auger-Aliassime F.,20,27,1771,1395,1.28,3.5,6-4 6-1
Western & Southern Financial Group Masters,2020-08-22 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Lajovic D.,Carreno Busta P.,Carreno Busta P.,23,25,1695,1500,2.75,1.4,5-7 1-6
Western & Southern Financial Group Masters,2020-08-22 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Struff J.L.,De Minaur A.,Struff J.L.,34,26,1315,1485,2.37,1.53,6-2 6-4
Western & Southern Financial Group Masters,2020-08-22 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Edmund K.,Anderson K.,Anderson K.,44,124,1050,445,1.44,2.62,6-7 6-4 3-6
Western & Southern Financial Group Masters,2020-08-22 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Opelka R.,Norrie C.,Opelka R.,39,77,1177,712,1.66,2.1,6-3 6-4
Western & Southern Financial Group Masters,2020-08-22 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Harris L.,Fritz T.,Fritz T.,97,24,616,1510,2.62,1.44,1-6 3-6
Western & Southern Financial Group Masters,2020-08-22 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Krajinovic F.,Caruso S.,Krajinovic F.,32,99,1343,597,1.33,3.25,7-5 6-4
Western & Southern Financial Group Masters,2020-08-22 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Tiafoe F.,Murray A.,Murray A.,81,134,700,412,2.25,1.57,6-7 6-3 1-6
Western & Southern Financial Group Masters,2020-08-22 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Berankis R.,Paul T.,Berankis R.,72,57,739,894,2.05,1.7,6-7 6-4 7-5
Western & Southern Financial Group Masters,2020-08-23 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Querrey S.,Raonic M.,Raonic M.,45,30,1045,1350,2.05,1.7,4-6 4-6
Western & Southern Financial Group Masters,2020-08-23 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Shapovalov D.,Cilic M.,Shapovalov D.,17,37,2075,1225,1.61,2.2,6-3 6-3
Western & Southern Financial Group Masters,2020-08-23 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Bublik A.,Khachanov K.,Khachanov K.,51,16,965,2120,2.75,1.4,4-6 4-6
Western & Southern Financial Group Masters,2020-08-23 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Sandgren T.,Sonego L.,Sandgren T.,55,46,923,1030,1.5,2.5,6-3 7-6
Western & Southern Financial Group Masters,2020-08-23 00:00:00,Masters 1000,Outdoor,Hard,1st Round,3,Ruud C.,Schwartzman D.,Schwartzman D.,36,13,1279,2265,2.62,1.44,6-7 3-6
