Rank,Player,Player_ID,Points
1,Sinner Jannik,6HdC3z4H,11330
2,Zverev Alexander,dGbUhw9m,7945
3,Alcaraz Carlos,UkhgIFEq,6910
4,Fritz Taylor,UH09iaZ6,4900
5,Djokovic Novak,AZg49Et9,3860
6,Ruud Casper,zN9UpRqp,3855
7,Draper Jack,SWxNhpmK,3800
8,Medvedev Daniil,O8qG0Nhb,3680
9,Rublev Andrey,AeAn4gP0,3440
10,Tsitsipas Stefanos,hb6oWfc6,3405
11,De Minaur Alex,EZgZ9Xfh,3335
12,Rune Holger,2kRS8swG,3270
13,Paul Tommy,pd3ye1BS,3030
14,Shelton Ben,QNuG0Gzb,2980
15,Dimitrov Grigor,SQgEEKh4,2745
16,Musetti Lorenzo,xtH2ODVI,2650
17,Tiafoe Frances,AHDLJaph,2485
18,Fils Arthur,IoIhUqIN,2480
19,Auger-Aliassime Felix,CzXh4LAb,2415
20,Humbert Ugo,O4ywE5Ah,2375
21,Machac Tomas,S44E7UYr,2310
22,Hurkacz Hubert,zuHOBnY9,2205
23,Khachanov Karen,4bNPtZT5,2000
24,Cerundolo Francisco,lWQ3G6gB,1925
25,Korda Sebastian,SYklCTPO,1860
26,Popyrin Alexei,fJjLpuNq,1800
27,Lehecka Jiri,6PlgfXKR,1745
28,Shapovalov Denis,zXddgn9o,1716
29,Mpetshi Perricard Giovanni,ITe9m2F8,1656
30,Berrettini Matteo,OhwtM7N8,1580
31,Tabilo Alejandro,YgVnM5vO,1555
32,Nakashima Brandon,ETGnbrpH,1500
33,Michelsen Alex,nDIhfm9l,1465
34,Griekspoor Tallon,f3zfMU5i,1420
35,Arnaldi Matteo,hlVLAfZK,1410
36,Baez Sebastian,dd8jLjtO,1385
37,Thompson Jordan,8pwfoWMP,1375
38,Sonego Lorenzo,zVuMEJTT,1356
39,Davidovich Fokina Alejandro,0zQXLfz4,1325
40,Martinez Pedro,WtiN88eD,1295
41,Muller Alexandre,nLLdS9q0,1287
42,Borges Nuno,hzbEPIOa,1280
43,Cobolli Flavio,zDtaCcPe,1280
44,Etcheverry Tomas Martin,AXL5qpKa,1275
45,Giron Marcos,OWOgryOk,1240
46,Monfils Gael,fm7G8o0m,1230
47,Jarry Nicolas,W24W9IyU,1165
48,Kecmanovic Miomir,MTQ5CPOR,1161
49,Struff Jan-Lennard,Ek3bDDo2,1160
50,Bautista-Agut Roberto,riOJC5jb,1089
51,Bergs Zizou,SbeTx1o8,1065
52,Zhang Zhizhen,IFKEHRGG,1055
53,Carballes Baena Roberto,hj8fIZPg,1051
54,Mensik Jakub,UFj257G8,1042
55,Goffin David,bqic8RxG,1003
56,Munar Jaume,zZieQm4D,992
57,Halys Quentin,EDve8Ljh,981
58,Shang Juncheng,tvjTgE3J,975
59,Marozsan Fabian,I1mux0lj,965
60,Fonseca Joao,tv073LUc,955
61,Darderi Luciano,jeXTxMIp,945
62,Navone Mariano,YoPUeL3o,925
63,Bonzi Benjamin,M5OpGHqH,920
64,Nishikori Kei,YNkOjUIB,873
65,Ugo Carabelli Camilo,KWdgY7Bq,870
66,Tien Learner,xUHOBJK6,867
67,Comesana Francisco,SxKK0RUD,866
68,Nishioka Yoshihito,neAMoGXa,859
69,Bu Yunchaokete,Qabjt3Y5,855
70,Dzumhur Damir,hMrlbuuQ,852
71,Safiullin Roman,IBpggNog,851
72,Bellucci Mattia,M9pojLqi,838
73,Medjedovic Hamad,nDcBkcu7,829
74,Rinderknech Arthur,pIxZZsof,821
75,Djere Laslo,4GGnypTh,821
76,Moutet Corentin,bX0EWcV9,814
77,Vukic Aleksandar,O2CmIROi,814
78,O'Connell Christopher,SptFeDiE,805
79,Kovacevic Aleksandar,AudsF90U,800
80,Bublik Alexander,t0WN9vR6,785
81,Norrie Cameron,pvzhJGY8,784
82,Altmaier Daniel,IPR8h9gM,783
83,Fearnley Jacob,pGBaKGOn,770
84,Nardi Luca,pfrQxVu7,762
85,Van De Zandschulp Botic,YwiLpILD,760
86,Hijikata Rinky,f9eT4NTQ,752
87,Diallo Gabriel,2TgBLj6G,730
88,Gaston Hugo,hGqnSub7,711
89,Walton Adam,jNRjAU1U,666
90,Fucsovics Marton,GhQFzFli,666
91,Collignon Raphael,xzJGXJ6t,652
92,Faria Jaime,ETojuYQP,649
93,Kokkinakis Thanasi,rBm7dcxH,648
94,Passaro Francesco,6iHVMexn,646
95,Duckworth James,2JWHPUUb,638
96,Seyboth Wild Thiago,pO9zJCv1,617
97,Fognini Fabio,OEmFxtMq,607
98,Shevchenko Alexander,jTIB3FIA,598
99,Monteiro Thiago,YqLucTlj,590
100,Basavareddy Nishesh,rqtJueQt,585
101,McDonald Mackenzie,WWi3O0v6,575
102,Kotov Pavel,809HrNqi,573
103,Dellien Hugo,fkLRaqYe,566
104,Eubanks Christopher,roxxrh4k,563
105,De Jong Jesper,8jStUWzB,562
106,Pouille Lucas,ro2eiAkm,559
107,Harris Billy,G0X2O6XR,558
108,Lajovic Dusan,bJf33z45,555
109,Carreno-Busta Pablo,W8WmcXdq,554
110,Galan Daniel Elahi,jgzV6009,532
111,Boyer Tristan,lYHOmg6t,531
112,Coric Borna,QZdb3dWH,530
113,Hanfmann Yannick,zLJYYbhm,529
114,Opelka Reilly,fqKkCJdJ,529
115,Tseng Chun Hsin,SlYNMbDS,529
116,Holt Brandon,GtTV1GfD,528
117,Tirante Thiago Agustin,jBkGDj34,512
118,Cazaux Arthur,bJR9AFq5,508
